raceId,round,circuitId,name,date,time
1,1,1,Australian Grand Prix,2009-03-29,06:00:00
2,2,2,Malaysian Grand Prix,2009-04-05,09:00:00
3,3,17,Chinese Grand Prix,2009-04-19,07:00:00
4,4,3,Bahrain Grand Prix,2009-04-26,12:00:00
5,5,4,Spanish Grand Prix,2009-05-10,12:00:00
6,6,6,Monaco Grand Prix,2009-05-24,12:00:00
7,7,5,Turkish Grand Prix,2009-06-07,12:00:00
8,8,9,British Grand Prix,2009-06-21,12:00:00
9,9,20,German Grand Prix,2009-07-12,12:00:00
10,10,11,Hungarian Grand Prix,2009-07-26,12:00:00
11,11,12,European Grand Prix,2009-08-23,12:00:00
12,12,13,Belgian Grand Prix,2009-08-30,12:00:00
13,13,14,Italian Grand Prix,2009-09-13,12:00:00
14,14,15,Singapore Grand Prix,2009-09-27,12:00:00
15,15,22,Japanese Grand Prix,2009-10-04,05:00:00
16,16,18,Brazilian Grand Prix,2009-10-18,16:00:00
17,17,24,Abu Dhabi Grand Prix,2009-11-01,11:00:00
18,1,1,Australian Grand Prix,2008-03-16,04:30:00
19,2,2,Malaysian Grand Prix,2008-03-23,07:00:00
20,3,3,Bahrain Grand Prix,2008-04-06,11:30:00
21,4,4,Spanish Grand Prix,2008-04-27,12:00:00
22,5,5,Turkish Grand Prix,2008-05-11,12:00:00
23,6,6,Monaco Grand Prix,2008-05-25,12:00:00
24,7,7,Canadian Grand Prix,2008-06-08,17:00:00
25,8,8,French Grand Prix,2008-06-22,12:00:00
26,9,9,British Grand Prix,2008-07-06,12:00:00
27,10,10,German Grand Prix,2008-07-20,12:00:00
28,11,11,Hungarian Grand Prix,2008-08-03,12:00:00
29,12,12,European Grand Prix,2008-08-24,12:00:00
30,13,13,Belgian Grand Prix,2008-09-07,12:00:00
31,14,14,Italian Grand Prix,2008-09-14,12:00:00
32,15,15,Singapore Grand Prix,2008-09-28,12:00:00
33,16,16,Japanese Grand Prix,2008-10-12,04:30:00
34,17,17,Chinese Grand Prix,2008-10-19,07:00:00
35,18,18,Brazilian Grand Prix,2008-11-02,17:00:00
36,1,1,Australian Grand Prix,2007-03-18,03:00:00
37,2,2,Malaysian Grand Prix,2007-04-08,07:00:00
38,3,3,Bahrain Grand Prix,2007-04-15,11:30:00
39,4,4,Spanish Grand Prix,2007-05-13,12:00:00
40,5,6,Monaco Grand Prix,2007-05-27,12:00:00
41,6,7,Canadian Grand Prix,2007-06-10,17:00:00
42,7,19,United States Grand Prix,2007-06-17,17:00:00
43,8,8,French Grand Prix,2007-07-01,12:00:00
44,9,9,British Grand Prix,2007-07-08,12:00:00
45,10,20,European Grand Prix,2007-07-22,12:00:00
46,11,11,Hungarian Grand Prix,2007-08-05,12:00:00
47,12,5,Turkish Grand Prix,2007-08-26,12:00:00
48,13,14,Italian Grand Prix,2007-09-09,12:00:00
49,14,13,Belgian Grand Prix,2007-09-16,12:00:00
50,15,16,Japanese Grand Prix,2007-09-30,04:30:00
51,16,17,Chinese Grand Prix,2007-10-07,06:00:00
52,17,18,Brazilian Grand Prix,2007-10-21,16:00:00
53,1,3,Bahrain Grand Prix,2006-03-12,14:30:00
54,2,2,Malaysian Grand Prix,2006-03-19,15:00:00
55,3,1,Australian Grand Prix,2006-04-02,14:00:00
56,4,21,San Marino Grand Prix,2006-04-23,14:00:00
57,5,20,European Grand Prix,2006-05-07,14:00:00
58,6,4,Spanish Grand Prix,2006-05-14,14:00:00
59,7,6,Monaco Grand Prix,2006-05-28,14:00:00
60,8,9,British Grand Prix,2006-06-11,12:00:00
61,9,7,Canadian Grand Prix,2006-06-25,13:00:00
62,10,19,United States Grand Prix,2006-07-02,14:00:00
63,11,8,French Grand Prix,2006-07-16,14:00:00
64,12,10,German Grand Prix,2006-07-30,14:00:00
65,13,11,Hungarian Grand Prix,2006-08-06,14:00:00
66,14,5,Turkish Grand Prix,2006-08-27,15:00:00
67,15,14,Italian Grand Prix,2006-09-10,14:00:00
68,16,17,Chinese Grand Prix,2006-10-01,14:00:00
69,17,22,Japanese Grand Prix,2006-10-08,14:00:00
70,18,18,Brazilian Grand Prix,2006-10-22,14:00:00
71,1,1,Australian Grand Prix,2005-03-06,14:00:00
72,2,2,Malaysian Grand Prix,2005-03-20,15:00:00
73,3,3,Bahrain Grand Prix,2005-04-03,14:30:00
74,4,21,San Marino Grand Prix,2005-04-24,14:00:00
75,5,4,Spanish Grand Prix,2005-05-08,14:00:00
76,6,6,Monaco Grand Prix,2005-05-22,14:00:00
77,7,20,European Grand Prix,2005-05-29,14:00:00
78,8,7,Canadian Grand Prix,2005-06-12,13:00:00
79,9,19,United States Grand Prix,2005-06-19,14:00:00
80,10,8,French Grand Prix,2005-07-03,14:00:00
81,11,9,British Grand Prix,2005-07-10,14:00:00
82,12,10,German Grand Prix,2005-07-24,14:00:00
83,13,11,Hungarian Grand Prix,2005-07-31,14:00:00
84,14,5,Turkish Grand Prix,2005-08-21,15:00:00
85,15,14,Italian Grand Prix,2005-09-04,14:00:00
86,16,13,Belgian Grand Prix,2005-09-11,14:00:00
87,17,18,Brazilian Grand Prix,2005-09-25,14:00:00
88,18,22,Japanese Grand Prix,2005-10-09,14:00:00
89,19,17,Chinese Grand Prix,2005-10-16,14:00:00
90,1,1,Australian Grand Prix,2004-03-07,13:00:00
91,2,2,Malaysian Grand Prix,2004-03-21,14:00:00
92,3,3,Bahrain Grand Prix,2004-04-04,12:00:00
93,4,21,San Marino Grand Prix,2004-04-25,11:00:00
94,5,4,Spanish Grand Prix,2004-05-09,12:00:00
95,6,6,Monaco Grand Prix,2004-05-23,11:00:00
96,7,20,European Grand Prix,2004-05-30,15:00:00
97,8,7,Canadian Grand Prix,2004-06-13,11:00:00
98,9,19,United States Grand Prix,2004-06-20,16:00:00
99,10,8,French Grand Prix,2004-07-04,13:00:00
100,11,9,British Grand Prix,2004-07-11,13:00:00
101,12,10,German Grand Prix,2004-07-25,14:00:00
102,13,11,Hungarian Grand Prix,2004-08-15,13:00:00
103,14,13,Belgian Grand Prix,2004-08-29,13:00:00
104,15,14,Italian Grand Prix,2004-09-12,13:00:00
105,16,17,Chinese Grand Prix,2004-09-26,16:00:00
106,17,22,Japanese Grand Prix,2004-10-10,13:00:00
107,18,18,Brazilian Grand Prix,2004-10-24,15:00:00
108,1,1,Australian Grand Prix,2003-03-09,12:00:00
109,2,2,Malaysian Grand Prix,2003-03-23,12:00:00
110,3,18,Brazilian Grand Prix,2003-04-06,13:00:00
111,4,21,San Marino Grand Prix,2003-04-20,12:00:00
112,5,4,Spanish Grand Prix,2003-05-04,13:00:00
113,6,23,Austrian Grand Prix,2003-05-18,15:00:00
114,7,6,Monaco Grand Prix,2003-06-01,15:00:00
115,8,7,Canadian Grand Prix,2003-06-15,13:00:00
116,9,20,European Grand Prix,2003-06-29,15:00:00
117,10,8,French Grand Prix,2003-07-06,12:00:00
118,11,9,British Grand Prix,2003-07-20,15:00:00
119,12,10,German Grand Prix,2003-08-03,13:00:00
120,13,11,Hungarian Grand Prix,2003-08-24,16:00:00
121,14,14,Italian Grand Prix,2003-09-14,12:00:00
122,15,19,United States Grand Prix,2003-09-28,16:00:00
123,16,22,Japanese Grand Prix,2003-10-12,16:00:00
124,1,1,Australian Grand Prix,2002-03-03,11:00:00
125,2,2,Malaysian Grand Prix,2002-03-17,15:00:00
126,3,18,Brazilian Grand Prix,2002-03-31,16:00:00
127,4,21,San Marino Grand Prix,2002-04-14,14:00:00
128,5,4,Spanish Grand Prix,2002-04-28,11:00:00
129,6,23,Austrian Grand Prix,2002-05-12,11:00:00
130,7,6,Monaco Grand Prix,2002-05-26,14:00:00
131,8,7,Canadian Grand Prix,2002-06-09,14:00:00
132,9,20,European Grand Prix,2002-06-23,11:00:00
133,10,9,British Grand Prix,2002-07-07,11:00:00
134,11,8,French Grand Prix,2002-07-21,14:00:00
135,12,10,German Grand Prix,2002-07-28,14:00:00
136,13,11,Hungarian Grand Prix,2002-08-18,13:00:00
137,14,13,Belgian Grand Prix,2002-09-01,12:00:00
138,15,14,Italian Grand Prix,2002-09-15,14:00:00
139,16,19,United States Grand Prix,2002-09-29,12:00:00
140,17,22,Japanese Grand Prix,2002-10-13,16:00:00
141,1,1,Australian Grand Prix,2001-03-04,13:00:00
142,2,2,Malaysian Grand Prix,2001-03-18,14:00:00
143,3,18,Brazilian Grand Prix,2001-04-01,15:00:00
144,4,21,San Marino Grand Prix,2001-04-15,16:00:00
145,5,4,Spanish Grand Prix,2001-04-29,14:00:00
146,6,23,Austrian Grand Prix,2001-05-13,11:00:00
147,7,6,Monaco Grand Prix,2001-05-27,12:00:00
148,8,7,Canadian Grand Prix,2001-06-10,11:00:00
149,9,20,European Grand Prix,2001-06-24,16:00:00
150,10,8,French Grand Prix,2001-07-01,15:00:00
151,11,9,British Grand Prix,2001-07-15,13:00:00
152,12,10,German Grand Prix,2001-07-29,12:00:00
153,13,11,Hungarian Grand Prix,2001-08-19,16:00:00
154,14,13,Belgian Grand Prix,2001-09-02,15:00:00
155,15,14,Italian Grand Prix,2001-09-16,14:00:00
156,16,19,United States Grand Prix,2001-09-30,11:00:00
157,17,22,Japanese Grand Prix,2001-10-14,14:00:00
158,1,1,Australian Grand Prix,2000-03-12,12:00:00
159,2,18,Brazilian Grand Prix,2000-03-26,11:00:00
160,3,21,San Marino Grand Prix,2000-04-09,13:00:00
161,4,9,British Grand Prix,2000-04-23,13:00:00
162,5,4,Spanish Grand Prix,2000-05-07,11:00:00
163,6,20,European Grand Prix,2000-05-21,16:00:00
164,7,6,Monaco Grand Prix,2000-06-04,11:00:00
165,8,7,Canadian Grand Prix,2000-06-18,15:00:00
166,9,8,French Grand Prix,2000-07-02,15:00:00
167,10,23,Austrian Grand Prix,2000-07-16,13:00:00
168,11,10,German Grand Prix,2000-07-30,15:00:00
169,12,11,Hungarian Grand Prix,2000-08-13,15:00:00
170,13,13,Belgian Grand Prix,2000-08-27,13:00:00
171,14,14,Italian Grand Prix,2000-09-10,11:00:00
172,15,19,United States Grand Prix,2000-09-24,16:00:00
173,16,22,Japanese Grand Prix,2000-10-08,12:00:00
174,17,2,Malaysian Grand Prix,2000-10-22,16:00:00
175,1,1,Australian Grand Prix,1999-03-07,14:00:00
176,2,18,Brazilian Grand Prix,1999-04-11,16:00:00
177,3,21,San Marino Grand Prix,1999-05-02,16:00:00
178,4,6,Monaco Grand Prix,1999-05-16,11:00:00
179,5,4,Spanish Grand Prix,1999-05-30,13:00:00
180,6,7,Canadian Grand Prix,1999-06-13,16:00:00
181,7,8,French Grand Prix,1999-06-27,13:00:00
182,8,9,British Grand Prix,1999-07-11,15:00:00
183,9,23,Austrian Grand Prix,1999-07-25,13:00:00
184,10,10,German Grand Prix,1999-08-01,15:00:00
185,11,11,Hungarian Grand Prix,1999-08-15,12:00:00
186,12,13,Belgian Grand Prix,1999-08-29,16:00:00
187,13,14,Italian Grand Prix,1999-09-12,11:00:00
188,14,20,European Grand Prix,1999-09-26,13:00:00
189,15,2,Malaysian Grand Prix,1999-10-17,12:00:00
190,16,22,Japanese Grand Prix,1999-10-31,15:00:00
191,1,1,Australian Grand Prix,1998-03-08,14:00:00
192,2,18,Brazilian Grand Prix,1998-03-29,14:00:00
193,3,25,Argentine Grand Prix,1998-04-12,11:00:00
194,4,21,San Marino Grand Prix,1998-04-26,15:00:00
195,5,4,Spanish Grand Prix,1998-05-10,13:00:00
196,6,6,Monaco Grand Prix,1998-05-24,12:00:00
197,7,7,Canadian Grand Prix,1998-06-07,12:00:00
198,8,8,French Grand Prix,1998-06-28,14:00:00
199,9,9,British Grand Prix,1998-07-12,11:00:00
200,10,23,Austrian Grand Prix,1998-07-26,11:00:00
201,11,10,German Grand Prix,1998-08-02,13:00:00
202,12,11,Hungarian Grand Prix,1998-08-16,14:00:00
203,13,13,Belgian Grand Prix,1998-08-30,13:00:00
204,14,14,Italian Grand Prix,1998-09-13,12:00:00
205,15,20,Luxembourg Grand Prix,1998-09-27,12:00:00
206,16,22,Japanese Grand Prix,1998-11-01,12:00:00
207,1,1,Australian Grand Prix,1997-03-09,13:00:00
208,2,18,Brazilian Grand Prix,1997-03-30,11:00:00
209,3,25,Argentine Grand Prix,1997-04-13,14:00:00
210,4,21,San Marino Grand Prix,1997-04-27,12:00:00
211,5,6,Monaco Grand Prix,1997-05-11,15:00:00
212,6,4,Spanish Grand Prix,1997-05-25,14:00:00
213,7,7,Canadian Grand Prix,1997-06-15,14:00:00
214,8,8,French Grand Prix,1997-06-29,15:00:00
215,9,9,British Grand Prix,1997-07-13,12:00:00
216,10,10,German Grand Prix,1997-07-27,12:00:00
217,11,11,Hungarian Grand Prix,1997-08-10,12:00:00
218,12,13,Belgian Grand Prix,1997-08-24,12:00:00
219,13,14,Italian Grand Prix,1997-09-07,13:00:00
220,14,23,Austrian Grand Prix,1997-09-21,11:00:00
221,15,20,Luxembourg Grand Prix,1997-09-28,16:00:00
222,16,22,Japanese Grand Prix,1997-10-12,12:00:00
223,17,26,European Grand Prix,1997-10-26,12:00:00
224,1,1,Australian Grand Prix,1996-03-10,13:00:00
225,2,18,Brazilian Grand Prix,1996-03-31,13:00:00
226,3,25,Argentine Grand Prix,1996-04-07,11:00:00
227,4,20,European Grand Prix,1996-04-28,16:00:00
228,5,21,San Marino Grand Prix,1996-05-05,14:00:00
229,6,6,Monaco Grand Prix,1996-05-19,11:00:00
230,7,4,Spanish Grand Prix,1996-06-02,16:00:00
231,8,7,Canadian Grand Prix,1996-06-16,13:00:00
232,9,8,French Grand Prix,1996-06-30,12:00:00
233,10,9,British Grand Prix,1996-07-14,11:00:00
234,11,10,German Grand Prix,1996-07-28,11:00:00
235,12,11,Hungarian Grand Prix,1996-08-11,12:00:00
236,13,13,Belgian Grand Prix,1996-08-25,15:00:00
237,14,14,Italian Grand Prix,1996-09-08,14:00:00
238,15,27,Portuguese Grand Prix,1996-09-22,11:00:00
239,16,22,Japanese Grand Prix,1996-10-13,11:00:00
240,1,18,Brazilian Grand Prix,1995-03-26,16:00:00
241,2,25,Argentine Grand Prix,1995-04-09,16:00:00
242,3,21,San Marino Grand Prix,1995-04-30,15:00:00
243,4,4,Spanish Grand Prix,1995-05-14,15:00:00
244,5,6,Monaco Grand Prix,1995-05-28,11:00:00
245,6,7,Canadian Grand Prix,1995-06-11,12:00:00
246,7,8,French Grand Prix,1995-07-02,14:00:00
247,8,9,British Grand Prix,1995-07-16,13:00:00
248,9,10,German Grand Prix,1995-07-30,11:00:00
249,10,11,Hungarian Grand Prix,1995-08-13,12:00:00
250,11,13,Belgian Grand Prix,1995-08-27,14:00:00
251,12,14,Italian Grand Prix,1995-09-10,13:00:00
252,13,27,Portuguese Grand Prix,1995-09-24,12:00:00
253,14,20,European Grand Prix,1995-10-01,14:00:00
254,15,28,Pacific Grand Prix,1995-10-22,12:00:00
255,16,22,Japanese Grand Prix,1995-10-29,16:00:00
256,17,29,Australian Grand Prix,1995-11-12,16:00:00
257,1,18,Brazilian Grand Prix,1994-03-27,13:00:00
258,2,28,Pacific Grand Prix,1994-04-17,11:00:00
259,3,21,San Marino Grand Prix,1994-05-01,11:00:00
260,4,6,Monaco Grand Prix,1994-05-15,12:00:00
261,5,4,Spanish Grand Prix,1994-05-29,13:00:00
262,6,7,Canadian Grand Prix,1994-06-12,12:00:00
263,7,8,French Grand Prix,1994-07-03,12:00:00
264,8,9,British Grand Prix,1994-07-10,14:00:00
265,9,10,German Grand Prix,1994-07-31,12:00:00
266,10,11,Hungarian Grand Prix,1994-08-14,14:00:00
267,11,13,Belgian Grand Prix,1994-08-28,14:00:00
268,12,14,Italian Grand Prix,1994-09-11,15:00:00
269,13,27,Portuguese Grand Prix,1994-09-25,16:00:00
270,14,26,European Grand Prix,1994-10-16,12:00:00
271,15,22,Japanese Grand Prix,1994-11-06,14:00:00
272,16,29,Australian Grand Prix,1994-11-13,13:00:00
273,1,30,South African Grand Prix,1993-03-14,16:00:00
274,2,18,Brazilian Grand Prix,1993-03-28,12:00:00
275,3,31,European Grand Prix,1993-04-11,12:00:00
276,4,21,San Marino Grand Prix,1993-04-25,13:00:00
277,5,4,Spanish Grand Prix,1993-05-09,13:00:00
278,6,6,Monaco Grand Prix,1993-05-23,12:00:00
279,7,7,Canadian Grand Prix,1993-06-13,13:00:00
280,8,8,French Grand Prix,1993-07-04,12:00:00
281,9,9,British Grand Prix,1993-07-11,13:00:00
282,10,10,German Grand Prix,1993-07-25,13:00:00
283,11,11,Hungarian Grand Prix,1993-08-15,13:00:00
284,12,13,Belgian Grand Prix,1993-08-29,11:00:00
285,13,14,Italian Grand Prix,1993-09-12,14:00:00
286,14,27,Portuguese Grand Prix,1993-09-26,11:00:00
287,15,22,Japanese Grand Prix,1993-10-24,15:00:00
288,16,29,Australian Grand Prix,1993-11-07,12:00:00
289,1,30,South African Grand Prix,1992-03-01,13:00:00
290,2,32,Mexican Grand Prix,1992-03-22,15:00:00
291,3,18,Brazilian Grand Prix,1992-04-05,16:00:00
292,4,4,Spanish Grand Prix,1992-05-03,11:00:00
293,5,21,San Marino Grand Prix,1992-05-17,12:00:00
294,6,6,Monaco Grand Prix,1992-05-31,15:00:00
295,7,7,Canadian Grand Prix,1992-06-14,13:00:00
296,8,8,French Grand Prix,1992-07-05,12:00:00
297,9,9,British Grand Prix,1992-07-12,15:00:00
298,10,10,German Grand Prix,1992-07-26,12:00:00
299,11,11,Hungarian Grand Prix,1992-08-16,16:00:00
300,12,13,Belgian Grand Prix,1992-08-30,15:00:00
301,13,14,Italian Grand Prix,1992-09-13,13:00:00
302,14,27,Portuguese Grand Prix,1992-09-27,11:00:00
303,15,22,Japanese Grand Prix,1992-10-25,11:00:00
304,16,29,Australian Grand Prix,1992-11-08,16:00:00
305,1,33,United States Grand Prix,1991-03-10,16:00:00
306,2,18,Brazilian Grand Prix,1991-03-24,14:00:00
307,3,21,San Marino Grand Prix,1991-04-28,15:00:00
308,4,6,Monaco Grand Prix,1991-05-12,14:00:00
309,5,7,Canadian Grand Prix,1991-06-02,14:00:00
310,6,32,Mexican Grand Prix,1991-06-16,14:00:00
311,7,8,French Grand Prix,1991-07-07,14:00:00
312,8,9,British Grand Prix,1991-07-14,11:00:00
313,9,10,German Grand Prix,1991-07-28,13:00:00
314,10,11,Hungarian Grand Prix,1991-08-11,12:00:00
315,11,13,Belgian Grand Prix,1991-08-25,14:00:00
316,12,14,Italian Grand Prix,1991-09-08,14:00:00
317,13,27,Portuguese Grand Prix,1991-09-22,11:00:00
318,14,4,Spanish Grand Prix,1991-09-29,11:00:00
319,15,22,Japanese Grand Prix,1991-10-20,11:00:00
320,16,29,Australian Grand Prix,1991-11-03,16:00:00
321,1,33,United States Grand Prix,1990-03-11,13:00:00
322,2,18,Brazilian Grand Prix,1990-03-25,12:00:00
323,3,21,San Marino Grand Prix,1990-05-13,16:00:00
324,4,6,Monaco Grand Prix,1990-05-27,15:00:00
325,5,7,Canadian Grand Prix,1990-06-10,11:00:00
326,6,32,Mexican Grand Prix,1990-06-24,15:00:00
327,7,34,French Grand Prix,1990-07-08,14:00:00
328,8,9,British Grand Prix,1990-07-15,13:00:00
329,9,10,German Grand Prix,1990-07-29,13:00:00
330,10,11,Hungarian Grand Prix,1990-08-12,16:00:00
331,11,13,Belgian Grand Prix,1990-08-26,16:00:00
332,12,14,Italian Grand Prix,1990-09-09,11:00:00
